"id","first_blood_time","radiant_gold_advantage","radiant_experience_advantage","radiant_win","min_radiant_gold_advantage","max_radiant_gold_advantage","mean_radiant_gold_advantage","std_dev_radiant_gold_advantage","final_radiant_gold_advantage","min_radiant_experience_advantage","max_radiant_experience_advantage","mean_radiant_experience_advantage","std_dev_radiant_experience_advantage","final_radiant_experience_advantage"
7987629156,25,"{0,484,345,619,468,1272,1261,2028,1770,2127,1897,2673,2926,1251,2535,4009,5230,5946,6793,7505,10815,11800,12814,13193,15968,21504}","{0,161,-64,417,701,1680,1279,1835,1666,2047,1881,2343,2495,-41,1835,4871,5587,5551,6046,6256,10342,10697,12741,11515,12636,20013}",true,0,21504,5278.19231,5588.43015,21504,-64,20013,4788.07692,5098.96969,20013
7987628649,0,"{0,-2100,-2032,-2942,-408,-3652,-2446,-3682,-5818,-5932,-7029,-12486,-15953,-20996,-25258,-23243,-15011,-14333,-16619,-18473,-30673,-30831,-33487,-34797,-30831,-31103,-32661,-33917}","{0,-847,-953,-2237,-953,-3028,-1246,-1416,-5524,-5631,-6057,-16142,-14168,-22206,-19825,-8696,2164,3860,2347,844,-22951,-9748,-19205,-21165,-22846,-24977,-30697,-30536}",false,-34797,0,-16311.17857,12182.30870,-33917,-30697,3860,-10065.67857,10674.12620,-30536
7987627943,0,"{-451,-1267,-1594,-2139,-1936,-1693,-2539,-2022,-3258,-3565,-5403,-4871,-5518,-6762,-8396,-9716,-10120,-9806,-12512,-12912,-13390,-15443,-16109,-19308,-17905,-19308,-19028,-22411}","{-99,-79,-135,-396,-633,-237,-1593,-920,-2657,-3573,-5905,-5541,-6113,-7444,-8935,-11838,-11626,-10468,-13263,-14334,-15340,-17800,-21732,-23356,-21016,-21259,-22458,-24592}",false,-22411,-451,-8906.50000,6686.57318,-22411,-24592,-79,-9762.21429,8307.82381,-24592
7987626886,8,"{0,580,815,50,151,268,5,280,27,173,-289,226,-518,-1408,-1102,-2144,-2402,-4075,-4491,-6157,-8144,-8408,-9234,-9582,-10821,-17276,-19532,-19372,-20883,-23599}","{0,101,73,-476,-384,-157,-492,-46,-392,-524,-1172,-379,-1595,-2766,-2292,-3657,-2914,-4456,-5393,-7986,-12080,-11877,-12509,-12691,-15633,-22784,-23628,-24278,-24862,-28288}",false,-23599,815,-5562.06667,7396.39449,-23599,-28288,101,-7451.23333,8983.44454,-28288
7987625609,118,"{0,11,575,352,1684,2157,2712,3744,3681,5710,7924,9254,10153,10494,8974,10566,12565,15513,19513,20098}","{0,-9,516,600,1335,1819,2507,3878,4393,4980,7990,7943,9980,9959,8016,10556,13362,17732,22108,20085}",true,0,20098,7284.00000,6129.28345,20098,-9,22108,7387.50000,6580.93291,20085
7987623517,0,"{29,949,1501,1751,1847,2386,1875,2691,1963,2083,3160,3245,5594,7040,7884,9717,11327,10735,12034,12898,15556,13469,16389}","{0,42,471,584,656,820,629,889,507,997,2379,2542,4892,4894,5519,8821,10403,9655,11790,11342,12831,11808,15663}",true,29,16389,6353.17391,5152.44188,16389,0,15663,5136.26087,5039.36924,15663
7987623401,82,"{0,-5,-206,-651,-227,-815,-986,-931,-1318,-1184,-1706,-1532,-623,-1109,-1432,-2447,-2196,-6243,-10215,-12975,-14827,-18493}","{0,-59,245,-195,-44,-42,-574,-994,-1625,-1608,-2523,-2677,-1039,-1826,-2730,-4325,-4359,-10151,-12465,-14745,-14106,-15668}",false,-18493,0,-3641.86364,5255.34097,-18493,-15668,245,-4159.54545,5263.13767,-15668
7987644580,18,"{0,862,556,644,950,1303,1435,1862,2438,2493,2177,1387,816,2440,2038,-2522,-4972,-5984,-5022,-6744,-8982,-12954}","{0,126,-128,-345,55,-128,629,1194,1557,1604,978,-127,-1041,292,-1632,-6387,-9257,-8894,-7221,-8101,-11501,-12538}",false,-12954,2493,-1171.77273,4237.57671,-12954,-12538,1604,-2766.59091,4553.90943,-12538
7987620410,0,"{-563,-937,-1367,-1374,-2216,-1926,-2348,-2880,-4018,-3897,-5169,-7122,-7988,-8523,-9531,-9851,-10396,-10716,-11594,-12558,-12283,-15166,-17840,-15469,-15744,-15841,-18934,-20688,-22133}","{-100,-138,-439,-655,-1276,-1055,-1801,-2401,-3691,-3519,-4719,-7515,-8404,-9270,-9477,-11338,-12703,-11857,-11769,-11664,-11306,-13341,-17072,-16396,-15007,-17091,-17881,-19308,-23142}",false,-22133,-563,-9278.34483,6412.75571,-22133,-23142,-100,-9115.00000,6619.35025,-23142
7987620017,106,"{0,-142,-963,-1440,-1433,-2107,-1995,-1810,-2616,-2471,-1467,-1725,-3385,-3277,-4860,-5358,-8093,-7439,-7601,-8801,-8657,-7760,-10018,-11366,-13626,-15955,-17517,-21612,-21387,-23530,-25233,-28421,-30329,-31934,-38287}","{0,-12,-599,-792,-402,-1338,-966,14,-258,-621,-464,-534,-2843,-4137,-6067,-5297,-9040,-8186,-8422,-11087,-10517,-11149,-11578,-14160,-17216,-18830,-21743,-26842,-25976,-31080,-32821,-35761,-38720,-44984,-53531}",false,-38287,0,-10646.14286,10472.32271,-38287,-53531,14,-13027.40000,14438.37966,-53531
